Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2024,Hazardous waste generated (Tonnes) [12.4.2],,Metric Tons,Normal value,Units,,122
2024,Municipal waste generated (Tonnes) [12.4.2],,Metric Tons,Normal value,Units,,122
