Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2023,Normal value,Units,ICT_POTRAZ_Sector_Report,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,,14.5
2024,Normal value,Units,ICT_POTRAZ_Sector_Report,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,,15.0
