Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2017,Participation rate in formal and non-formal education and training [4.3.1],,Percent,Normal value,Units,,37.2
2023,Participation rate in formal and non-formal education and training [4.3.1],,Percent,Normal value,Units,,17.8
2024,Participation rate in formal and non-formal education and training [4.3.1],,Percent,Normal value,Units,,59.9
