Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Normal value,Units,EMA_ESG_WEBSITE,Number of companies publishing sustainability reports [12.6.1],,Number,,6
2024,Normal value,Units,EMA_ESG_WEBSITE,Number of companies publishing sustainability reports [12.6.1],,Number,,77
