Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,SEX,Units,GeoCode,Value
2019,A,0,Zimstat_MICS_2019,VC_VOV_DCMN,,F,PT,,25.2
2019,A,0,Zimstat_MICS_2019,VC_VOV_DCMN,,M,PT,,25.9
