Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,Series,REF_AREA,Units,GeoCode,Value
2014,A,0,RBZ,BX_TRF_PWKR,,PT,,6.0
2015,A,0,RBZ,BX_TRF_PWKR,,PT,,6.3
2016,A,0,RBZ,BX_TRF_PWKR,,PT,,5.4
2017,A,0,RBZ,BX_TRF_PWKR,,PT,,4.7
2021,A,0,RBZ,BX_TRF_PWKR,,PT,,6.7
2022,A,0,RBZ,BX_TRF_PWKR,,PT,,7.6
2023,A,0,RBZ,BX_TRF_PWKR,,PT,,8.1
