Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2019,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,,Percent,Normal value,Units,,48.7
2024,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,,Percent,Normal value,Units,,56.6
2024,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,Rural,Percent,Normal value,Units,,52.2
2024,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,Urban,Percent,Normal value,Units,,64.8
2024,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Female,,Percent,Normal value,Units,,57.4
2024,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Male,,Percent,Normal value,Units,,55.7
2024,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Bulawayo,,,Percent,Normal value,Units,ZW_BA,81.9
2024,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Harare,,,Percent,Normal value,Units,ZW_HA,57.2
2024,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Manicaland,,,Percent,Normal value,Units,ZW_MA,48.9
2024,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Mashonaland Central,,,Percent,Normal value,Units,ZW_MC,58.5
2024,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Masholanad East,,,Percent,Normal value,Units,ZW_ME,52.9
2024,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Midlands,,,Percent,Normal value,Units,ZW_MI,52.8
2024,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Matabeland North,,,Percent,Normal value,Units,ZW_MN,65.5
2024,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Matabeland South,,,Percent,Normal value,Units,ZW_MS,75.0
2024,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Masvingo,,,Percent,Normal value,Units,ZW_MV,49.7
2024,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],Mashonaland West,,,Percent,Normal value,Units,ZW_MW,58.2
