Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2023,SG_LGL_LNDWMN,,BOOL,A,0,,1
2024,SG_LGL_LNDWMN,,BOOL,A,0,,1
