Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2022,Normal value,Units,Reserve_Bank_Of_Zimbabwe,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,Number,,4.28
2022,Normal value,Units,Reserve_Bank_Of_Zimbabwe,"Number of commercial bank branches per 100,000 adults [8.10.1]",,Number,,5.41
