Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_ANEM_NPRG,,F,U,PT,,41.2
2024,A,0,ZIMSTAT ZDHS_2023-24,SH_STA_ANEM_PREG,,F,U,PT,,50.7
