Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2024,SH_MDD_WMN_NPRG,,U,PT,A,0,,24.7
2024,SH_MDD_WMN_NPRG,ZW_BA,U,PT,A,0,ZW_BA,18.2
2024,SH_MDD_WMN_NPRG,ZW_HA,U,PT,A,0,ZW_HA,58.6
2024,SH_MDD_WMN_NPRG,ZW_MA,U,PT,A,0,ZW_MA,32.9
2024,SH_MDD_WMN_NPRG,ZW_MC,U,PT,A,0,ZW_MC,12.3
2024,SH_MDD_WMN_NPRG,ZW_ME,U,PT,A,0,ZW_ME,24.0
2024,SH_MDD_WMN_NPRG,ZW_MI,U,PT,A,0,ZW_MI,14.5
2024,SH_MDD_WMN_NPRG,ZW_MN,U,PT,A,0,ZW_MN,17.4
2024,SH_MDD_WMN_NPRG,ZW_MS,U,PT,A,0,ZW_MS,17.4
2024,SH_MDD_WMN_NPRG,ZW_MV,U,PT,A,0,ZW_MV,17.3
2024,SH_MDD_WMN_NPRG,ZW_MW,U,PT,A,0,ZW_MW,14.2
