Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2022,VC_VAW_NONMARR,,F,Y15T49,PT,A,0,,0.83
2023,VC_VAW_NONMARR,,F,Y15T49,PT,A,0,,0.92
2024,VC_VAW_NONMARR,,F,Y15T49,PT,A,0,,0.1
