Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2020,DC_ODA_POVG,,PT,A,0,,1.68
2021,DC_ODA_POVG,,PT,A,0,,2.01
2022,DC_ODA_POVG,,PT,A,0,,2.3
2023,DC_ODA_POVG,,PT,A,0,,1.65
2024,DC_ODA_POVG,,PT,A,0,,1.48
