Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2020,SH_IHR_CAPS,,PT,A,0,,52
2023,SH_IHR_CAPS,,PT,A,0,,66
2024,SH_IHR_CAPS,,PT,A,0,,55
