Year,SOURCE_DETAIL,Value
2014,ZIMSTAT_National Accounts Department_2018,36.130819
2015,ZIMSTAT_National Accounts Department_2018,36.495276
2016,ZIMSTAT_National Accounts Department_2018,37.228068
2017,ZIMSTAT_National Accounts Department_2018,37.449537
2018,ZIMSTAT_National Accounts Department_2018,34.21241
2024,"Zimbabwe Embassys Mission reports, UNGA, ECOSOC, WTO, World Tourism Organisation, AFDB",100.0
2022,"IMCM Meeting Minutes, MoHACH",1.0
2023,National Migration Policy,1.0
