Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2020,DC_TOF_AGRL,,USD,A,0,,50.5
2021,DC_TOF_AGRL,,USD,A,0,,40.9
2022,DC_TOF_AGRL,,USD,A,0,,128.4
2023,DC_TOF_AGRL,,USD,A,0,,94.0
2024,DC_TOF_AGRL,,USD,A,0,,30.0
