Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2015,A,0,ZDHS_2023_24,SH_STA_BRTC,,,PT,,78.0
2019,A,0,ZDHS_2023_24,SH_STA_BRTC,,,PT,,84.0
2023,A,0,ZDHS_2023_24,SH_STA_BRTC,,,PT,,88.0
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,,,PT,,84.6
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,,R,PT,,79.4
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,,U,PT,,93.6
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_BA,,PT,ZW_BA,95.6
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_HA,,PT,ZW_HA,95.6
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_MA,,PT,ZW_MA,68.0
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_MC,,PT,ZW_MC,84.2
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_ME,,PT,ZW_ME,85.1
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_MI,,PT,ZW_MI,84.3
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_MN,,PT,ZW_MN,94.1
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_MS,,PT,ZW_MS,88.8
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_MV,,PT,ZW_MV,86.0
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_MW,,PT,ZW_MW,82.2
