Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,SE_DEV_ONTRK,,Y0T4,PT,A,0,,61.8
2019,SE_DEV_ONTRK,,Y0T4,PT,A,0,,70.8
