Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2015,A,0,ZIMSTAT ZDHS_2023-24,VC_VAW_MARR,,F,Y_GE15,PT,,15.0
2019,A,0,ZIMSTAT ZDHS_2023-24,VC_VAW_MARR,,F,Y_GE15,PT,,28.7
2024,A,0,ZIMSTAT ZDHS_2023-24,VC_VAW_MARR,,F,Y_GE15,PT,,25.1
