Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2024,SE_TRA_GRDL,,ISCED11_1,PT,A,0,,97.88
2024,SE_TRA_GRDL,,ISCED11_2,PT,A,0,,91.03
