Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2024,A,0,ZDHS 2023-24,SH_PRV_SMOK,,F,Y15T49,PT,,1.5
2024,A,0,ZDHS 2023-24,SH_PRV_SMOK,,M,Y15T49,PT,,19.2
