Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2009,NV_IND_MANF,,PT,A,0,,10.77925292538384
2010,NV_IND_MANF,,PT,A,0,,15.599746751843954
2011,NV_IND_MANF,,PT,A,0,,15.552482356251456
2012,NV_IND_MANF,,PT,A,0,,14.043402243513045
2013,NV_IND_MANF,,PT,A,0,,13.68667748115296
2014,NV_IND_MANF,,PT,A,0,,12.688281778215964
2015,NV_IND_MANF,,PT,A,0,,12.491328600067485
2016,NV_IND_MANF,,PT,A,0,,12.46642630785706
2017,NV_IND_MANF,,PT,A,0,,12.061130060336104
2018,NV_IND_MANF,,PT,A,0,,14.934874013195795
2019,NV_IND_MANF,,PT,A,0,,14.222359751223692
2020,NV_IND_MANF,,PT,A,0,,12.574882894728376
2021,NV_IND_MANF,,PT,A,0,,11.732142339439504
2022,NV_IND_MANF,,PT,A,0,,11.203113549009586
2023,NV_IND_MANF,,PT,A,0,,10.861970847026
2024,NV_IND_MANF,,PT,A,0,,15.21
2009,NV_IND_MANFPC,,CON_USD,A,0,,87.17364525323653
2010,NV_IND_MANFPC,,CON_USD,A,0,,89.88366818709584
2011,NV_IND_MANFPC,,CON_USD,A,0,,103.81591238388076
2012,NV_IND_MANFPC,,CON_USD,A,0,,180.00809992716108
2013,NV_IND_MANFPC,,CON_USD,A,0,,180.44360399085463
2014,NV_IND_MANFPC,,CON_USD,A,0,,175.412928208344
2015,NV_IND_MANFPC,,CON_USD,A,0,,161.7794289104285
2016,NV_IND_MANFPC,,CON_USD,A,0,,162.4265466260702
2017,NV_IND_MANFPC,,CON_USD,A,0,,159.58276945699376
2018,NV_IND_MANFPC,,CON_USD,A,0,,167.37714744880176
2019,NV_IND_MANFPC,,CON_USD,A,0,,2114.9243702633025
2020,NV_IND_MANFPC,,CON_USD,A,0,,14852.217562323907
2021,NV_IND_MANFPC,,CON_USD,A,0,,26683.13941988497
2022,NV_IND_MANFPC,,CON_USD,A,0,,168085.16699636055
2023,NV_IND_MANFPC,,CON_USD,A,0,,1418809.168446547
