Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2020,SH_HLF_EMED,,PT,A,0,,51.0
2023,SH_HLF_EMED,,PT,A,0,,22.0
2024,SH_HLF_EMED,,PT,A,0,,49.11
