Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2015,VC_IHR_PSRC,,,NUMBER,A,0,,73
2022,VC_IHR_PSRC,,,NUMBER,A,0,,1085
2023,VC_IHR_PSRC,,,NUMBER,A,0,,1086
2024,VC_IHR_PSRC,,,NUMBER,A,0,,1125
2023,VC_IHR_PSRC,,F,NUMBER,A,0,,252
2024,VC_IHR_PSRC,,F,NUMBER,A,0,,254
2023,VC_IHR_PSRC,,M,NUMBER,A,0,,834
2024,VC_IHR_PSRC,,M,NUMBER,A,0,,861
