Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2017,A,0,MOHCC,SH_STA_MALR,,PER_1000_POP,,10
2019,A,0,MOHCC,SH_STA_MALR,,PER_1000_POP,,22
2020,A,0,MOHCC,SH_STA_MALR,,PER_1000_POP,,32
2022,A,0,MOHCC,SH_STA_MALR,,PER_1000_POP,,9
2023,A,0,MOHCC,SH_STA_MALR,,PER_1000_POP,,16
