Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2019,SG_REG_BRTH,,,,PT,A,0,,48.7
2024,SG_REG_BRTH,,,,PT,A,0,,56.6
2024,SG_REG_BRTH,,,R,PT,A,0,,52.2
2024,SG_REG_BRTH,,,U,PT,A,0,,64.8
2024,SG_REG_BRTH,,F,,PT,A,0,,57.4
2024,SG_REG_BRTH,,M,,PT,A,0,,55.7
2024,SG_REG_BRTH,ZW_BA,,,PT,A,0,ZW_BA,81.9
2024,SG_REG_BRTH,ZW_HA,,,PT,A,0,ZW_HA,57.2
2024,SG_REG_BRTH,ZW_MA,,,PT,A,0,ZW_MA,48.9
2024,SG_REG_BRTH,ZW_MC,,,PT,A,0,ZW_MC,58.5
2024,SG_REG_BRTH,ZW_ME,,,PT,A,0,ZW_ME,52.9
2024,SG_REG_BRTH,ZW_MI,,,PT,A,0,ZW_MI,52.8
2024,SG_REG_BRTH,ZW_MN,,,PT,A,0,ZW_MN,65.5
2024,SG_REG_BRTH,ZW_MS,,,PT,A,0,ZW_MS,75.0
2024,SG_REG_BRTH,ZW_MV,,,PT,A,0,ZW_MV,49.7
2024,SG_REG_BRTH,ZW_MW,,,PT,A,0,ZW_MW,58.2
