Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2015,A,0,ZIMSTAT_women_and_men_report,SG_GEN_LOCGELS,,F,,PT,,31.9
2019,A,0,ZIMSTAT_women_and_men_report,SG_GEN_LOCGELS,,F,,PT,,37.7
2023,A,0,ZIMSTAT_women_and_men_report,SG_GEN_LOCGELS,,F,,PT,,37.0
2019,A,0,ZDHS_2023_24,SG_GEN_LOCGELS,,F,Y20T24,PT,,5.4
2022,A,0,ZDHS_2023_24,SG_GEN_LOCGELS,,F,Y20T24,PT,,16.2
2023,A,0,ZDHS_2023_24,SG_GEN_LOCGELS,,F,Y20T24,PT,,18.9
2024,A,0,ZDHS_2023_24,SG_GEN_LOCGELS,,F,Y20T24,PT,,32.8
2023,A,0,Parliamentary_of_Zimbabwe,SG_GEN_PARL,,F,,PT,,35.0
2024,A,0,Parliamentary_of_Zimbabwe,SG_GEN_PARL,,F,,PT,,35.0
2024,A,0,Parliamentary_of_Zimbabwe,SG_GEN_PARLN,,F,,NUMBER,,127.0
2024,A,0,Parliamentary_of_Zimbabwe,SG_GEN_PARLNT,,F,,NUMBER,,360.0
