Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,IC_GEN_MGTL_19ICLS,,F,PT,A,0,,27.6
2017,IC_GEN_MGTL_19ICLS,,F,PT,A,0,,31.0
2023,IC_GEN_MGTL_19ICLS,,F,PT,A,0,,34.0
