Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2015,SH_STA_WAST,,,,PT,A,0,,8.4
2024,SH_STA_WAST,,,,PT,A,0,,1.5
2024,SH_STA_WAST,,,R,PT,A,0,,1.8
2024,SH_STA_WAST,,,U,PT,A,0,,1.0
2024,SH_STA_WAST,,F,,PT,A,0,,1.4
2024,SH_STA_WAST,,M,,PT,A,0,,1.7
2024,SH_STA_WAST,ZW_BA,,,PT,A,0,ZW_BA,2.3
2024,SH_STA_WAST,ZW_HA,,,PT,A,0,ZW_HA,0.0
2024,SH_STA_WAST,ZW_MA,,,PT,A,0,ZW_MA,0.8
2024,SH_STA_WAST,ZW_MC,,,PT,A,0,ZW_MC,0.4
2024,SH_STA_WAST,ZW_ME,,,PT,A,0,ZW_ME,1.4
2024,SH_STA_WAST,ZW_MI,,,PT,A,0,ZW_MI,2.0
2024,SH_STA_WAST,ZW_MN,,,PT,A,0,ZW_MN,2.8
2024,SH_STA_WAST,ZW_MS,,,PT,A,0,ZW_MS,0.9
2024,SH_STA_WAST,ZW_MV,,,PT,A,0,ZW_MV,3.0
2024,SH_STA_WAST,ZW_MW,,,PT,A,0,ZW_MW,2.5
