Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,SL_CPA_YEMP,,BOOL,A,0,,1
2015,SL_CPA_YEMP,,BOOL,A,0,,1
2016,SL_CPA_YEMP,,BOOL,A,0,,1
2017,SL_CPA_YEMP,,BOOL,A,0,,1
2018,SL_CPA_YEMP,,BOOL,A,0,,1
2019,SL_CPA_YEMP,,BOOL,A,0,,1
2020,SL_CPA_YEMP,,BOOL,A,0,,1
2021,SL_CPA_YEMP,,BOOL,A,0,,1
2023,SL_CPA_YEMP,,BOOL,A,0,,1
2024,SL_CPA_YEMP,,BOOL,A,0,,1
