Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2020,DC_TOF_HLTHNT,,USD,A,0,,368.9
2021,DC_TOF_HLTHNT,,USD,A,0,,472.2
2022,DC_TOF_HLTHNT,,USD,A,0,,565.5
2023,DC_TOF_HLTHNT,,USD,A,0,,398.0
2024,DC_TOF_HLTHNT,,USD,A,0,,441.4
