Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2023,NV_IND_TECH,,PT,A,0,,14.5
2024,NV_IND_TECH,,PT,A,0,,15.0
