Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2022,SD_XPD_MNPO,,PT,A,0,,3.1
2023,SD_XPD_MNPO,,PT,A,0,,1.1
