Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,IT_MOB_2GNTWK,,PT,A,0,,96.0
2023,IT_MOB_2GNTWK,,PT,A,0,,91.2
2024,IT_MOB_2GNTWK,,PT,A,0,,93.89
