Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2015,SH_STA_STNT,,,,PT,A,0,,26.8
2019,SH_STA_STNT,,,,PT,A,0,,23.5
2024,SH_STA_STNT,,,,PT,A,0,,27.0
2024,SH_STA_STNT,,,R,PT,A,0,,28.8
2024,SH_STA_STNT,,,U,PT,A,0,,23.5
2024,SH_STA_STNT,,F,,PT,A,0,,24.6
2024,SH_STA_STNT,,M,,PT,A,0,,29.6
2024,SH_STA_STNT,ZW_BA,,,PT,A,0,ZW_BA,21.5
2024,SH_STA_STNT,ZW_HA,,,PT,A,0,ZW_HA,26.1
2024,SH_STA_STNT,ZW_MA,,,PT,A,0,ZW_MA,30.9
2024,SH_STA_STNT,ZW_MC,,,PT,A,0,ZW_MC,29.9
2024,SH_STA_STNT,ZW_ME,,,PT,A,0,ZW_ME,27.0
2024,SH_STA_STNT,ZW_MI,,,PT,A,0,ZW_MI,27.3
2024,SH_STA_STNT,ZW_MN,,,PT,A,0,ZW_MN,22.8
2024,SH_STA_STNT,ZW_MS,,,PT,A,0,ZW_MS,32.8
2024,SH_STA_STNT,ZW_MV,,,PT,A,0,ZW_MV,24.5
2024,SH_STA_STNT,ZW_MW,,,PT,A,0,ZW_MW,24.3
