Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Female,under 15 years old,Percent,Normal value,Units,,5.4
2024,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Female,under 15 years old,Percent,Normal value,Units,,5.0
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Female,under 15 years old,Percent,Normal value,Units,,5.4
2022,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Female,under 18 years old,Percent,Normal value,Units,,16.2
2023,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Female,under 18 years old,Percent,Normal value,Units,,18.9
2024,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Female,under 18 years old,Percent,Normal value,Units,,33.7
